dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,3,0,0.018064656,0,0,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.002379667,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001936957,0,0,
.........,0,0,9,2,0,0.001916682,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,3,0,0.001989256,0,0,
..........,0,0,10,,,,,,
..........,0,0,10,4,0,0.002299671,0,0,
..........,0,0,10,2,0,0.000843197,0,0,
..........,0,0,10,,,,,,
...........,0,0,11,3,0,0.000948893,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,,,,,,
...........,0,0,11,4,0,0.00192283,0,0,
...........,0,0,11,3,0,0.001159836,0,0,
...........,0,0,11,3,0,0.000791895,0,0,
...........,0,0,11,5,0,0.00183902,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,6,0,0.000872753,0,0,
...........,0,0,11,4,0,0.001801747,0,0,
............,0,0,12,2,0,0.001864024,0,0,
...(((...))),-1,-1.39999997615814,12,5,0,0.001919414,0,0,
............,0,0,12,4,0,0.000769371,0,0,
............,0,0,12,2,0,0.00175712,0,0,
............,0,0,12,4,0,0.002112543,0,0,
............,0,0,12,2,0,0.000946932,0,0,
............,0,0,12,2,0,0.001871784,0,0,
............,0,0,12,,,,,,
............,0,0,12,,,,,,
............,0,0,12,3,0,0.002009451,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.002025622,0,0,
.............,0,0,13,4,0,0.000752774,0,0,
.............,0,0,13,4,0,0.002132924,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.000922647,0,0,
.............,0,0,13,2,0,0.002127181,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,3,0,0.001917778,0,0,
.............,0,0,13,,,,,,
..............,0,0,14,,,,,,
..............,0,0,14,5,0,0.002056083,0,0,
..............,0,0,14,4,0,0.002075675,0,0,
..............,0,0,14,2,0,0.001990383,0,0,
..............,0,0,14,5,0,0.002190802,0,0,
..............,0,0,14,3,0,0.001890111,0,0,
..............,0,0,14,2,0,0.002032917,0,0,
..............,0,0,14,5,0,0.000856091,0,0,
..............,0,0,14,,,,,,
..............,0,0,14,3,0,0.000888212,0,0,
...............,0,0,15,6,0,0.001826329,0,0,
...............,0,0,15,5,0,0.001855811,0,0,
...............,0,0,15,3,0,0.001825318,0,0,
...............,0,0,15,3,0,0.000907902,0,0,
.(((......)))..,-3,-2.90000009536743,15,6,0,0.000805604,0,0,
...((......))..,-1,-1.10000002384186,15,6,0,0.001915535,0,0,
...............,0,0,15,5,0,0.001842515,0,0,
