dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,3,0,0.000767813,0,0,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.000850309,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001869214,0,0,
.........,0,0,9,2,0,0.001870476,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,3,0,0.001869628,0,0,
..........,0,0,10,,,,,,
..........,0,0,10,4,0,0.000820202,0,0,
..........,0,0,10,2,0,0.000721089,0,0,
..........,0,0,10,,,,,,
...........,0,0,11,3,0,0.000786285,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,,,,,,
...........,0,0,11,4,0,0.001957141,0,0,
...........,0,0,11,3,0,0.000786841,0,0,
...........,0,0,11,3,0,0.000780221,0,0,
...........,0,0,11,5,0,0.00179904,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,6,0,0.000756886,0,0,
...........,0,0,11,4,0,0.001893358,0,0,
............,0,0,12,2,0,0.000692343,0,0,
...(((...))),-1,-1.39999997615814,12,5,0,0.000798946,0,0,
............,0,0,12,4,0,0.001811508,0,0,
............,0,0,12,2,0,0.00182764,0,0,
............,0,0,12,4,0,0.002011281,0,0,
............,0,0,12,2,0,0.000890495,0,0,
............,0,0,12,2,0,0.00080372,0,0,
............,0,0,12,,,,,,
............,0,0,12,,,,,,
............,0,0,12,3,0,0.001990571,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.000807191,0,0,
.............,0,0,13,4,0,0.001867413,0,0,
.............,0,0,13,4,0,0.001903611,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.00210906,0,0,
.............,0,0,13,2,0,0.001835601,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,3,0,0.000901955,0,0,
.............,0,0,13,,,,,,
..............,0,0,14,,,,,,
..............,0,0,14,5,0,0.002346526,0,0,
..............,0,0,14,4,0,0.00186842,0,0,
..............,0,0,14,2,0,0.001928778,0,0,
..............,0,0,14,5,0,0.0019312,0,0,
..............,0,0,14,3,0,0.0010993,0,0,
..............,0,0,14,2,0,0.001865841,0,0,
..............,0,0,14,5,0,0.001980348,0,0,
..............,0,0,14,,,,,,
..............,0,0,14,3,0,0.000804837,0,0,
...............,0,0,15,6,0,0.002009166,0,0,
...............,0,0,15,5,0,0.001899512,0,0,
...............,0,0,15,3,0,0.000774792,0,0,
...............,0,0,15,3,0,0.000823422,0,0,
.(((......)))..,-3,-2.90000009536743,15,6,0,0.001036251,0,0,
...((......))..,-1,-1.10000002384186,15,6,0,0.001896933,0,0,
...............,0,0,15,5,0,0.001147335,0,0,
