dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,3,0,0.000859925,0,0,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.000842968,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001794868,0,0,
.........,0,0,9,2,0,0.000805181,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,3,0,0.002006325,0,0,
..........,0,0,10,,,,,,
..........,0,0,10,4,0,0.001936047,0,0,
..........,0,0,10,2,0,0.001764137,0,0,
..........,0,0,10,,,,,,
...........,0,0,11,3,0,0.000782642,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,,,,,,
...........,0,0,11,4,0,0.001796107,0,0,
...........,0,0,11,3,0,0.002069121,0,0,
...........,0,0,11,3,0,0.000787911,0,0,
...........,0,0,11,5,0,0.000746187,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,6,0,0.001876311,0,0,
...........,0,0,11,4,0,0.000941531,0,0,
............,0,0,12,2,0,0.000699332,0,0,
...(((...))),-1,-1.39999997615814,12,5,0,0.001849259,0,0,
............,0,0,12,4,0,0.001822681,0,0,
............,0,0,12,2,0,0.000775662,0,0,
............,0,0,12,4,0,0.000949515,0,0,
............,0,0,12,2,0,0.001982439,0,0,
............,0,0,12,2,0,0.001955238,0,0,
............,0,0,12,,,,,,
............,0,0,12,,,,,,
............,0,0,12,3,0,0.00099902,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.001843276,0,0,
.............,0,0,13,4,0,0.001918397,0,0,
.............,0,0,13,4,0,0.00090669,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.001838848,0,0,
.............,0,0,13,2,0,0.001753556,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,3,0,0.00187287,0,0,
.............,0,0,13,,,,,,
..............,0,0,14,,,,,,
..............,0,0,14,5,0,0.001988192,0,0,
..............,0,0,14,4,0,0.000728481,0,0,
..............,0,0,14,2,0,0.001936217,0,0,
..............,0,0,14,5,0,0.002101542,0,0,
..............,0,0,14,3,0,0.001902425,0,0,
..............,0,0,14,2,0,0.002039368,0,0,
..............,0,0,14,5,0,0.001899691,0,0,
..............,0,0,14,,,,,,
..............,0,0,14,3,0,0.001839759,0,0,
...............,0,0,15,6,0,0.001879301,0,0,
...............,0,0,15,5,0,0.000879647,0,0,
...............,0,0,15,3,0,0.000777671,0,0,
...............,0,0,15,3,0,0.001749044,0,0,
.(((......)))..,-3,-2.90000009536743,15,6,0,0.00086476,0,0,
...((......))..,-1,-1.10000002384186,15,6,0,0.000796826,0,0,
...............,0,0,15,5,0,0.001898899,0,0,
