database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,493,bpRNA_PDB_493,94,(((...........(((...(((.....)))......)))((((.((((....)))))))..((((......))))..............)))),0.4375,0.583333333333333,0.5,226.436157813
PDB,247,bpRNA_PDB_247,65,((((((.....(((((.......)))))..........(((.............)))..)))))),0.538461538461538,1,0.7,18.2210112729999
PDB,145,bpRNA_PDB_145,77,(((((..................((((.....))))........(((..................)))))....))),0.178571428571429,1,0.303030303030303,79.6257323040004
SPR,491,tdbR00000012,76,..((.....))..........((...(((((...))..))))).....(((((.......)))))...........,0.5,0.833333333333333,0.625,77.3139262479999
SPR,326,tdbR00000286,77,((((((...((((.........))))......((((......))))...(((((.......))))).))))))....,0.75,0.714285714285714,0.731707317073171,59.035022262
SPR,477,tdbR00000461,71,....(((..((((...))).)))).(((((.......)))))....(((((....)))))...........,0.68421052631579,0.722222222222222,0.702702702702703,28.7262824320001
PDB,56,bpRNA_PDB_56,17,.................,0,0,0,0.0254150989999289
SPR,358,tdbR00000353,77,(((((....((((............(((((.........)))))......((((...))))))))...)))))....,0.571428571428571,0.705882352941176,0.631578947368421,71.6748640720002
SPR,549,tdbR00000319,77,(((((((..((((.........)))).((((((.....))))))......((((.......)))).)))))))....,0.952380952380952,0.909090909090909,0.930232558139535,53.4587470670003
PDB,534,bpRNA_PDB_534,27,..((((...............))))..,0.444444444444444,1,0.615384615384615,0.0405008840002665
PDB,294,bpRNA_PDB_294,29,(((((...................))))),0.454545454545455,1,0.625,0.0425061689998074
PDB,305,bpRNA_PDB_305,24,(((((.(((.....)))..))))),0.8,1,0.888888888888889,0.0350662710002325
SPR,319,tdbR00000146,76,.(((((((...................(((((.......)))))....(((((.......))))))))))))....,0.80952380952381,1,0.894736842105263,67.5553275719999
SPR,496,tdbR00000362,76,...((((..((((........))))......................((((((.......)))))).)))).....,0.571428571428571,0.923076923076923,0.705882352941176,83.547625961
SPR,124,tdbR00000060,75,(((((((....((((...))))....(((((.......)))))....(((((.......))))))))))))....,0.857142857142857,0.782608695652174,0.818181818181818,63.8183056590001
PDB,16,bpRNA_PDB_16,38,(((((....((.((((....)))))).......))))),0.625,1,0.769230769230769,0.158710635999796
PDB,271,bpRNA_PDB_271,94,(((...........(((...(((.....)))......))).(((.((((....)))))))..((((......))))..............))).,0.416666666666667,0.75,0.535714285714286,234.267671895
PDB,106,bpRNA_PDB_106,32,(((((.........))))).............,0.5,1,0.666666666666667,0.118373634000363
PDB,325,bpRNA_PDB_325,17,(((((......))))).,0.833333333333333,1,0.909090909090909,0.031508622000274
PDB,195,bpRNA_PDB_195,29,((((((((.((((....)))))))))))),1,0.714285714285714,0.833333333333333,0.0802326289999655
SPR,398,tdbR00000615,77,(((((((..((((((((.....))))....))))...((((....))))(((((.......))))))))))))....,0.857142857142857,0.6,0.705882352941176,205.505885982
SPR,121,tdbR00000261,87,(((((....(((...........))).(((((.......))))).((((....))))..(((((.......)))))..)))))....,0.857142857142857,0.692307692307692,0.765957446808511,178.490681286
SPR,371,tdbR00000216,85,(((......(((.....)))...))).(((((.......)))))............((((((.......))))))..........,0.65,0.764705882352941,0.702702702702703,179.351340936
PDB,204,bpRNA_PDB_204,47,((......(((...))...))).((((........))))........,0.105263157894737,0.4,0.166666666666667,0.378943446999983
PDB,203,bpRNA_PDB_203,32,..((((.....)))).................,0,0,0,0.0535064329997113
PDB,312,bpRNA_PDB_312,102,........(((((........)))))..............................(((..(((((......)))...(((((.....))))).)))))...,0.225806451612903,0.291666666666667,0.254545454545454,381.110856698
PDB,149,bpRNA_PDB_149,27,((((((((.((...))))))...)))),0.7,0.7,0.7,0.0713163930004157
PDB,394,bpRNA_PDB_394,62,(((((......(((..(((((....))).....((((....))))....)))))..))))).,0.5,0.8,0.615384615384615,14.1495882879999
SPR,481,tdbR00000263,86,.(((((....(((...........))).(((((.......))))).(((....)))..(((((.......)))))..)))))....,0.857142857142857,0.75,0.8,169.689046267999
SPR,320,tdbR00000172,77,(((((((................(((((..........)))))......(((((.......))))))))))))....,0.6,0.857142857142857,0.705882352941176,43.5696559939997
PDB,388,bpRNA_PDB_388,27,..........((......)).......,0.222222222222222,1,0.363636363636364,0.0538009500005501
SPR,475,tdbR00000421,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.952380952380952,0.714285714285714,0.816326530612245,172.747808693
PDB,496,bpRNA_PDB_496,94,((((..........(((...(((.....)))......))).((((.(((....)))))))..((((......)))).............)))).,0.457142857142857,0.761904761904762,0.571428571428571,228.528518856
SPR,61,tdbR00000453,76,(((((((..((((........)))).(((((.......))))).....(((.......)))....)))))))....,0.761904761904762,0.888888888888889,0.82051282051282,87.8793392500002
PDB,230,bpRNA_PDB_230,41,......((((((((((......)))))))))).........,0.555555555555556,1,0.714285714285714,0.278543881999212
SPR,34,tdbR00000029,73,(((((((..((((......))))....((((((...(((.........)))..))))))...)))))))....,0.55,0.5,0.523809523809524,49.359841728
PDB,330,bpRNA_PDB_330,36,..(((((............)))))............,0.555555555555556,1,0.714285714285714,0.322018875999674
PDB,297,bpRNA_PDB_297,76,(((((((..((((........)))).(((((.......)))))((((((......))).)))...)))))))....,0.571428571428571,0.8,0.666666666666667,81.1923039249996
PDB,225,bpRNA_PDB_225,45,........(((((((((((....)))))))))))...........,0.55,1,0.709677419354839,0.754646052999306
PDB,70,bpRNA_PDB_70,13,.............,0,0,0,0.0426987629998621
SPR,577,tdbR00000482,75,(((((((..........................(((((((....))))..)))...........)))))))....,0.333333333333333,0.466666666666667,0.388888888888889,86.9723327700003
SPR,506,tdbR00000145,76,.(((((((.................((((....))))..(((......(((...))).....))))))))))....,0.476190476190476,0.555555555555556,0.512820512820513,34.8150211920001
SPR,221,tdbR00000446,78,(((((((..(((............))).(((((.......))))).....(((((.......))))))))))))....,1,1,1,174.489620593
PDB,306,bpRNA_PDB_306,25,....((((((......))))))...,0.666666666666667,1,0.8,0.064834136999707
SPR,415,tdbR00000417,85,(((((((((((..........((((....))))...........((((...))))..(((((.......)))))))))))))))),0.571428571428571,0.413793103448276,0.48,139.602327152
PDB,612,bpRNA_PDB_612,76,.........((((........)))).(((((.......))))).....(((((.......)))))...........,0.518518518518518,1,0.682926829268293,58.6434365240002
SPR,313,tdbR00000400,71,(((((((.((((................)))).....(((((((...)))))))......)))))))....,0.4375,0.259259259259259,0.325581395348837,134.942875579
