database,sequence_database_number,sequence_info,sequence_length,sensitivity,ppv,f1,execution_wall_time_secs
SPR,491,tdbR00000012,76,0.6,0.8571428571428571,0.7058823529411764,1562.0777029820001
SPR,326,tdbR00000286,77,0.75,0.7142857142857143,0.7317073170731706,1263.125938022
SPR,477,tdbR00000461,71,0.6842105263157895,0.7222222222222222,0.7027027027027027,619.9071754319993
SPR,358,tdbR00000353,77,0.5714285714285714,0.5217391304347826,0.5454545454545454,1352.9063612659993
SPR,549,tdbR00000319,77,0.9523809523809523,0.9090909090909091,0.9302325581395349,1027.1937428280016
SPR,319,tdbR00000146,76,0.8095238095238095,0.8947368421052632,0.8500000000000001,1291.183180139
SPR,496,tdbR00000362,76,0.8095238095238095,0.9444444444444444,0.8717948717948718,1576.581484620001
SRP,543,Myco.pene._BA000026,77,0.8,0.9090909090909091,0.8510638297872342,4475.062001460999
SPR,124,tdbR00000060,75,0.8571428571428571,0.782608695652174,0.8181818181818182,1265.991703906002
SRP,703,Rhod.spha._CP000577,42,0.0,0.0,0,2.1451120269994135
SPR,398,tdbR00000615,77,0.8571428571428571,0.6,0.7058823529411764,4390.096229142
SRP,414,Lact.sali._CP000233,31,0.42857142857142855,1.0,0.6,0.3509649850020651
SRP,481,Magn.magn._AP007255,58,0.0,0.0,0,390.0170909389999
SPR,320,tdbR00000172,77,0.6,0.75,0.6666666666666665,897.4789484569992
SPR,61,tdbR00000453,76,0.7619047619047619,0.8888888888888888,0.8205128205128205,1763.859885326001
SPR,34,tdbR00000029,73,0.55,0.5,0.5238095238095238,1009.1726847530008
SPR,577,tdbR00000482,75,0.3333333333333333,0.3888888888888889,0.358974358974359,1798.8470038409941
SPR,506,tdbR00000145,76,0.47619047619047616,0.5555555555555556,0.5128205128205129,698.9801835979961
SPR,221,tdbR00000446,78,1.0,1.0,1.0,3919.3718245339987
SRP,306,Ferv.nodo._CP000771,35,0.0,0.0,0,0.43049404000339564
SRP,525,Myco.bovi._BX248347,59,0.42857142857142855,0.14285714285714285,0.21428571428571427,955.467289141001
