database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,493,bpRNA_PDB_493,94,(((...........(((...(((.....)))......)))((((.((((....)))))))..((((......))))..............)))),0.4375,0.5833333333333334,0.5,6.926211656000305
PDB,247,bpRNA_PDB_247,65,((((((.....(((((.......)))))..........(((.............)))..)))))),0.5384615384615384,1.0,0.7000000000000001,1.57152022199989
SRP,433,Leis.dono._AY722735,138,...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,0.5,0.15555555555555556,0.23728813559322035,93.02403270800096
SRP,447,Leis.trop._AY722723,134,........(((((....((((....((((.((((...............))))....((((((...)))).............)))))..))))))))))...((((......)))).................,0.16666666666666666,0.045454545454545456,0.07142857142857144,92.61329409099926
PDB,145,bpRNA_PDB_145,77,(((((..................((((.....))))........(((..................)))))....))),0.17857142857142858,1.0,0.30303030303030304,3.6582277990000875
SPR,491,tdbR00000012,76,..((.....))..........((...(((((...))..))))).....(((((.......)))))...........,0.5,0.8333333333333334,0.625,3.558277788999476
SPR,326,tdbR00000286,77,((((((...((((.........))))......((((......))))...(((((.......))))).))))))....,0.75,0.7142857142857143,0.7317073170731706,2.819466785000259
SPR,477,tdbR00000461,71,....(((..((((...))).)))).(((((.......)))))....(((((....)))))...........,0.6842105263157895,0.7222222222222222,0.7027027027027027,2.1818420500003413
PDB,56,bpRNA_PDB_56,17,.................,0.0,0,0,0.014772913000342669
SPR,358,tdbR00000353,77,(((((....((((............(((((.........)))))......((((...))))))))...)))))....,0.5714285714285714,0.7058823529411765,0.6315789473684211,3.2573964220009657
SRP,602,Para.symb._BX908798,102,((((((.(((((....(((........))).....)))))....................................................))))))....,0.1935483870967742,0.6666666666666666,0.30000000000000004,14.883963026999481
SRP,908,Wolb.endo._AE017321,103,....((((((.(((((.((((...))))))))))(((.....(((....))).....)))..........(((((((....)))))))......)))))....,0.35714285714285715,0.35714285714285715,0.35714285714285715,22.876553731999593
SRP,15,Alca.bork._AM286690,104,(((............)))...((((.....................(((....)))..((((((((.(((.....))))...)))...))))))))........,0.19444444444444445,0.4666666666666667,0.27450980392156865,20.43305564699949
SPR,549,tdbR00000319,77,(((((((..((((.........)))).((((((.....))))))......((((.......)))).)))))))....,0.9523809523809523,0.9090909090909091,0.9302325581395349,2.8043308989999787
SRP,613,Phyt.infe._CV911012,91,.........(((((((...))).))))...(((((((((.....)))).))))).........(((...)))...................,0.1,0.037037037037037035,0.05405405405405406,6.7716376339994895
PDB,534,bpRNA_PDB_534,27,..((((...............))))..,0.4444444444444444,1.0,0.6153846153846153,0.025739704999068636
SRP,100,Bord.aviu._AM167904,103,(((.((((((..(((((...)))))...))))))(((.....(((....))).....))).......)))((((((((.....))))).....))).......,0.4375,0.4666666666666667,0.45161290322580644,21.988599522001095
PDB,294,bpRNA_PDB_294,29,(((((...................))))),0.45454545454545453,1.0,0.625,0.027586362000874942
PDB,305,bpRNA_PDB_305,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.021424026999739
SPR,319,tdbR00000146,76,.(((((((...................(((((.......)))))....(((((.......))))))))))))....,0.8095238095238095,1.0,0.8947368421052632,2.998165581999274
SPR,496,tdbR00000362,76,...((((..((((........))))......................((((((.......)))))).)))).....,0.5714285714285714,0.9230769230769231,0.7058823529411765,3.565583110999796
SRP,543,Myco.pene._BA000026,77,.(((((((.((((((.(((......))).....(((....))).....(((....)))...))))))..))))))).,0.88,1.0,0.9361702127659575,6.8428817839994736
SPR,124,tdbR00000060,75,(((((((....((((...))))....(((((.......)))))....(((((.......))))))))))))....,0.8571428571428571,0.782608695652174,0.8181818181818182,3.1440276889989036
SRP,703,Rhod.spha._CP000577,42,.........((((......))))..((......)).......,0.4,0.5714285714285714,0.47058823529411764,0.1724091190008039
PDB,16,bpRNA_PDB_16,38,(((((.......((((....)))).........))))),0.5625,1.0,0.72,0.10138670100059244
PDB,271,bpRNA_PDB_271,94,(((...........(((...(((.....)))......))).(((.((((....)))))))..((((......))))..............))).,0.4166666666666667,0.75,0.5357142857142857,7.735030302999803
SRP,178,Chla.pneu._AE001363,116,..(((((((((...((((.......))))..((((..........)))).(((..(((...))).)))..........(((((((...)))))))......)))))))))......,0.3,0.24324324324324326,0.26865671641791045,33.84859769800096
PDB,106,bpRNA_PDB_106,32,(((((.........))))).............,0.5,1.0,0.6666666666666666,0.07283654999991995
PDB,325,bpRNA_PDB_325,17,(((((......))))).,0.8333333333333334,1.0,0.9090909090909091,0.01577792500029318
PDB,195,bpRNA_PDB_195,29,((((((...((((......)))))))))),1.0,1.0,1.0,0.04860742900018522
SRP,914,Xant.camp._DQ256493,98,.((((((((((...)))))....(((((....(((((....(((....)))..........)))))....)))))(((((........)))))))))),0.4482758620689655,0.5,0.4727272727272727,15.190917492000153
SPR,398,tdbR00000615,77,(((((((..((((((((.....))))....))))...((((....))))(((((.......))))))))))))....,0.8571428571428571,0.6,0.7058823529411764,6.05038570600118
SRP,414,Lact.sali._CP000233,31,.........(((....)))............,0.42857142857142855,1.0,0.6,0.03320290400006343
SRP,840,Thal.pseu._EF067921,90,(((((((.............((((((.......(((...(((....)))))).......))))))(((......)))......))))))),0.4090909090909091,0.3333333333333333,0.36734693877551017,16.63937383099983
SPR,121,tdbR00000261,87,(((((....(((...........))).(((((.......))))).((((....))))..(((((.......)))))..)))))....,0.8571428571428571,0.6923076923076923,0.7659574468085107,5.809325538999474
SPR,371,tdbR00000216,85,(((......(((.....)))...))).(((((.......)))))............((((((.......))))))..........,0.65,0.7647058823529411,0.7027027027027027,5.5872363449998375
PDB,204,bpRNA_PDB_204,47,((......(((...))...))).((((........))))........,0.10526315789473684,0.4,0.16666666666666666,0.19258591399920988
SRP,598,Para.bras._EH652573,127,...(((((.........)))))...(((.((((((....)))((((..((((.....((((((.........(((((....))))....))))........)))))).......)))))))))))..,0.3333333333333333,0.1346153846153846,0.19178082191780818,61.52252396699987
PDB,203,bpRNA_PDB_203,32,..((((.....)))).................,0.0,0.0,0,0.03763975299989397
PDB,312,bpRNA_PDB_312,102,........(((((........)))))..............................(((..(((((......)))...(((((.....))))).)))))...,0.22580645161290322,0.2916666666666667,0.2545454545454545,10.936761499000568
PDB,149,bpRNA_PDB_149,27,((((...((((....))))....)))),0.8,1.0,0.888888888888889,0.03147903499848326
SRP,854,Ther.ther._AE017306,102,(((((((.((((((..((((((...)).....((((.......))))..(((....))))...(((((....))).)))))))))))....)))))))....,0.6470588235294118,0.7333333333333333,0.6875,42.65384963299948
PDB,394,bpRNA_PDB_394,62,(((((......(((..(((((....))).....((((....))))....)))))..))))).,0.5,0.8,0.6153846153846154,1.5662189240010775
SRP,481,Magn.magn._AP007255,58,........((((......)))).....((((.(((.(((((....))))))).))))),0.0,0.0,0,0.9639380879998498
SRP,322,Geob.meta._CP000148,91,.(((((((((..(((((..............)))))...(((....))).(((((..........))))).......))))))))).....,0.5,0.5416666666666666,0.52,8.963634169000215
SPR,481,tdbR00000263,86,.(((((....(((...........))).(((((.......))))).(((....)))..(((((.......)))))..)))))....,0.8571428571428571,0.75,0.7999999999999999,5.517373431999658
SPR,320,tdbR00000172,77,(((((((................(((((..........)))))......(((((.......))))))))))))....,0.6,0.8571428571428571,0.7058823529411764,2.719149329999709
PDB,388,bpRNA_PDB_388,27,..........((......)).......,0.2222222222222222,1.0,0.3636363636363636,0.023148009999204078
SRP,531,Myco.geni._BD439871,97,........((((.........))))...............(((....))).....((((((......))))))........................,0.1,0.375,0.15789473684210528,9.571112753001216
SPR,475,tdbR00000421,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.9523809523809523,0.7142857142857143,0.8163265306122449,5.556916038000054
PDB,496,bpRNA_PDB_496,94,((((..........(((...(((.....)))......))).((((.(((....)))))))..((((......)))).............)))).,0.45714285714285713,0.7619047619047619,0.5714285714285714,7.3534045460000925
SRP,935,Yers.pest._CP000308,117,((((((((((.......(((((...(((......)))..((((......(((....)))..((((.(((.....)))).....))))))))....)))).)))))))))).......,0.46153846153846156,0.5806451612903226,0.5142857142857143,35.20344454000042
SPR,61,tdbR00000453,76,(((((((..((((........)))).(((((.......))))).....(((.......)))....)))))))....,0.7619047619047619,0.8888888888888888,0.8205128205128205,3.7318770319998293
PDB,230,bpRNA_PDB_230,41,......((((((((((......)))))))))).........,0.5555555555555556,1.0,0.7142857142857143,0.1593275929990341
SPR,34,tdbR00000029,73,(((((((..((((......))))....((((((...(((.........)))..))))))...)))))))....,0.55,0.5,0.5238095238095238,2.77417492099994
PDB,330,bpRNA_PDB_330,36,..(((((............)))))............,0.5555555555555556,1.0,0.7142857142857143,0.16281436999997823
PDB,297,bpRNA_PDB_297,76,(((((((..((((........)))).(((((.......)))))((((((......))).)))...)))))))....,0.5714285714285714,0.8,0.6666666666666666,3.477563550000923
PDB,225,bpRNA_PDB_225,45,........(((((((((((....)))))))))))...........,0.55,1.0,0.7096774193548387,0.3330400630002259
PDB,70,bpRNA_PDB_70,13,.............,0.0,0,0,0.014591438999559614
SPR,577,tdbR00000482,75,(((((((..........................(((((((....))))..)))...........)))))))....,0.3333333333333333,0.4666666666666667,0.3888888888888889,3.6573830830002407
SPR,506,tdbR00000145,76,.(((((((.................((((....))))..(((......(((...))).....))))))))))....,0.47619047619047616,0.5555555555555556,0.5128205128205129,2.3901794439989317
SRP,432,Leis.dono._AY722734,138,...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,0.5,0.15555555555555556,0.23728813559322035,92.34136827300063
SPR,221,tdbR00000446,78,(((((((..(((............))).(((((.......))))).....(((((.......))))))))))))....,1.0,1.0,1.0,5.082021177999195
SRP,571,Nitr.eutr._CP000450,113,......((((.......((((((.(((((..((((..........))))(((....)))..((((((((((((....)))))....)))).))))))))))))))))))....,0.41025641025641024,0.5925925925925926,0.4848484848484849,56.30136949499865
PDB,306,bpRNA_PDB_306,25,....((((((......))))))...,0.6666666666666666,1.0,0.8,0.03089459100010572
SPR,415,tdbR00000417,85,(((((((((((..........((((....))))...........((((...))))..(((((.......)))))))))))))))),0.5714285714285714,0.41379310344827586,0.48000000000000004,5.044775746999221
PDB,612,bpRNA_PDB_612,76,.........((((........)))).(((((.......))))).....(((((.......)))))...........,0.5185185185185185,1.0,0.6829268292682926,2.677695987000334
SRP,306,Ferv.nodo._CP000771,35,...((((.......)))).................,0.0,0.0,0,0.0585196049996739
SRP,205,Clos.acet._AE007525,103,..........(((((..(((((...........))))).....(((...(((((...)))..........)))))......))))).................,0.24242424242424243,0.5714285714285714,0.3404255319148936,11.161045081000339
SRP,525,Myco.bovi._BX248347,59,.......((((...(((....))).....................(((....))))))),0.42857142857142855,0.2,0.27272727272727276,1.333269578000909
