database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,493,bpRNA_PDB_493,94,(((...........(((...(((.....)))......)))((((.((((....)))))))..((((......))))..............)))),0.4375,0.5833333333333334,0.5,9.692777370997646
PDB,247,bpRNA_PDB_247,65,((((((.....(((((.......)))))..........(((.............)))..)))))),0.5384615384615384,1.0,0.7000000000000001,1.577159919001133
SRP,433,Leis.dono._AY722735,138,...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,0.5,0.15555555555555556,0.23728813559322035,363.8680265539988
SRP,447,Leis.trop._AY722723,134,........(((((....((((....((((.((((......(((......))))....((((((...)))).............)))))..))))))))))...((((......)))).....))).........,0.16666666666666666,0.04081632653061224,0.06557377049180327,377.5426534670005
PDB,145,bpRNA_PDB_145,77,(((((..................((((.....))))........(((..................)))))....))),0.17857142857142858,1.0,0.30303030303030304,4.098646261001704
SPR,491,tdbR00000012,76,..((.....))..........((...(((((...))..))))).....(((((.......)))))...........,0.5,0.8333333333333334,0.625,3.6475518090010155
SPR,326,tdbR00000286,77,((((((...((((.........))))......((((......))))...(((((.......))))).))))))....,0.75,0.7142857142857143,0.7317073170731706,2.947255495997524
SPR,477,tdbR00000461,71,....(((..((((...))).)))).(((((.......)))))....(((((....)))))...........,0.6842105263157895,0.7222222222222222,0.7027027027027027,2.6083299899983103
PDB,56,bpRNA_PDB_56,17,.................,0.0,0,0,0.032651230998453684
SPR,358,tdbR00000353,77,(((((....((((............(((((.........)))))......((((...))))))))...)))))....,0.5714285714285714,0.7058823529411765,0.6315789473684211,3.5956744530012656
SRP,602,Para.symb._BX908798,102,((((((.(((((....(((........))).....)))))....................................................))))))....,0.1935483870967742,0.6666666666666666,0.30000000000000004,17.905377242001123
SRP,908,Wolb.endo._AE017321,103,....((((((.(((((.((((...))))))))))(((.....(((....))).....)))..........(((((((....)))))))......)))))....,0.35714285714285715,0.35714285714285715,0.35714285714285715,51.100059713997325
SRP,15,Alca.bork._AM286690,104,(((............)))...((((.....................(((....)))..((((((((.(((.....))))...)))...))))))))........,0.19444444444444445,0.4666666666666667,0.27450980392156865,61.35678140299933
SPR,549,tdbR00000319,77,(((((((..((((.........)))).((((((.....))))))......((((.......)))).)))))))....,0.9523809523809523,0.9090909090909091,0.9302325581395349,2.978844797999045
SRP,613,Phyt.infe._CV911012,91,.........(((((((...))).))))...(((((((((.....)))).))))).........(((...)))...................,0.1,0.037037037037037035,0.05405405405405406,8.149279766999825
PDB,534,bpRNA_PDB_534,27,..((((...............))))..,0.4444444444444444,1.0,0.6153846153846153,0.04868728800283861
SRP,100,Bord.aviu._AM167904,103,(((.((((((..(((((...)))))...))))))(((.....(((....))).....))).......)))((((((((.....))))).....))).......,0.4375,0.4666666666666667,0.45161290322580644,49.752632620999066
PDB,294,bpRNA_PDB_294,29,(((((...................))))),0.45454545454545453,1.0,0.625,0.04811193600107799
PDB,305,bpRNA_PDB_305,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.03946068300137995
SPR,319,tdbR00000146,76,.(((((((...................(((((.......)))))....(((((.......))))))))))))....,0.8095238095238095,1.0,0.8947368421052632,3.336979035000695
SPR,496,tdbR00000362,76,...((((..((((........))))......................((((((.......)))))).)))).....,0.5714285714285714,0.9230769230769231,0.7058823529411765,3.7785500889985997
SRP,543,Myco.pene._BA000026,77,.(((((((.((((((.(((........)))...(((....))).....(((....)))...))))))..))))))).,0.8,0.9090909090909091,0.8510638297872342,10.821712204000505
