dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
(((...........(((...(((.....)))......)))((((.((((....)))))))..((((......))))..............)))),-17.0,-9.800000190734863,94,187,175,2.441829214,350,0
((((((.....(((((.......)))))..........(((.............)))..)))))),-12.0,-12.5,65,107,94,0.021348073000000002,188,0
...........(((((....((((....((((..((((..(((((.......)))).............))))............)))).(((((((....))))))))))))..)))))..................,-35.0,4.900000095367432,138,484,464,285.748765585,928,0
........(((((....((((....((((.((((......(((......))))....((((((...)))).............)))))..))))))))))...((((......)))).....))).........,-27.0,25.0,134,459,443,303.58002406500003,886,0
(((((..................((((.....))))........(((..................)))))....))),-11.0,6.199999809265137,77,138,132,0.47616147000000003,252,0
..((.....))..........((...(((((...))..))))).....(((((.......)))))...........,-18.0,-0.10000000149011612,76,142,127,0.17812271000000002,254,0
((((((...((((.........))))......((((......))))...(((((.......))))).))))))....,-23.0,-26.0,77,129,114,0.125885497,228,0
....(((..((((...))).)))).(((((.......)))))....(((((....)))))...........,-10.0,3.200000047683716,71,114,107,0.035955931000000003,214,0
.................,0.0,0.0,17,5,0,0.0023541300000000003,0,0
(((((....((((............(((((.........)))))......((((...))))))))...)))))....,-15.0,-4.300000190734863,77,140,128,0.22387319600000002,256,0
((((((.(((((....(((........))).....)))))....................................................))))))....,-8.0,-9.59000015258789,102,261,238,2.7964874920000002,476,0
....((((((.(((((.((((...))))))))))(((.....(((....))).....)))..........(((((((....)))))))......)))))....,-35.0,-37.099998474121094,103,303,282,27.646912601,564,0
(((............)))...((((.....................(((....)))..((((((((.(((.....))))...)))...))))))))........,-22.0,12.800000190734863,104,283,260,41.039881914000006,520,0
(((((((..((((.........)))).((((((.....))))))......((((.......)))).)))))))....,-27.0,-29.299999237060547,77,132,120,0.156034491,240,0
.........(((((((...))).))))...(((((((((.....)))).))))).........(((...)))...................,-15.0,-20.399999618530273,91,184,175,1.144170005,350,0
..((((...............))))..,-3.0,-3.4000000953674316,27,16,13,0.004380833000000001,26,0
