database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,493,bpRNA_PDB_493,94,((((((((......((((..(((.....)))..)...))).((((.(((....)))))))........(((((....)))))...)))))))).,0.75,0.8275862068965517,0.7868852459016394,0.003284587000052852
PDB,247,bpRNA_PDB_247,65,((((((.....(((((.......)))))..........((((((.......))))))..)))))),0.6538461538461539,1.0,0.7906976744186047,0.0014419479998650786
PDB,145,bpRNA_PDB_145,77,(((((.((((.....(((((..(((.((...((((((.......))))))....)).)))..).))))))))))))),0.8214285714285714,0.8846153846153846,0.8518518518518519,0.0022242840000217257
SPR,491,tdbR00000012,76,((((((((.((.......)).))))))))........(((..((.(..(((((.......)))))..).))..))),0.55,0.5,0.5238095238095238,0.0023780070000611886
SPR,326,tdbR00000286,77,(((((((..((((((....)).))))..(((.........)))((((((((....)))).))))..)))))))....,0.7,0.5,0.5833333333333334,0.0023415519999616663
SPR,477,tdbR00000461,71,((.(((((.((((.......)))).(((((.......))))).....((((....))))))))).))....,0.9473684210526315,0.8571428571428571,0.9,0.0013841640002283384
PDB,56,bpRNA_PDB_56,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.00019282499988548807
SPR,358,tdbR00000353,77,(((((((..((((.........)))).(((((.......)))))(((((((....)))).)))...)))))))....,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.002211276999787515
SPR,549,tdbR00000319,77,(((((((..((((.........)))).(((((((...))))))).....(((((.......))))))))))))....,1.0,0.84,0.9130434782608696,0.0023020079997877474
PDB,534,bpRNA_PDB_534,27,.(((((..((.(....).)).))))).,0.6666666666666666,0.75,0.7058823529411765,0.0003690360003929527
PDB,294,bpRNA_PDB_294,29,(((((....((((....))))...))))),0.8181818181818182,1.0,0.9,0.0002845799999704468
PDB,305,bpRNA_PDB_305,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.00023572799955218215
SPR,319,tdbR00000146,76,.(((((((...(((((((((((.(((.....))).)))))))))))..(((((.......))))))))))))....,0.5714285714285714,0.42857142857142855,0.48979591836734687,0.002257804000237229
SPR,496,tdbR00000362,76,((((((((((((....)))))).........................((((((.......))))))))))))....,0.5714285714285714,0.6,0.5853658536585366,0.0020824869998250506
SPR,124,tdbR00000060,75,((((((((((((....)))).........(((((((.....)))))))((((.......))))))))))))....,0.5238095238095238,0.4230769230769231,0.4680851063829788,0.002146661000097083
PDB,16,bpRNA_PDB_16,38,(((((.......((((....)))).........))))),0.5625,1.0,0.72,0.00040875900003811694
PDB,271,bpRNA_PDB_271,94,((((((((......(((...(((.....)))......))).((((.(((....)))))))........(((((....)))))...)))))))).,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.003013203000136855
PDB,106,bpRNA_PDB_106,32,(((((((....)).))))).............,0.5,0.7142857142857143,0.588235294117647,0.00030223700014175847
PDB,325,bpRNA_PDB_325,17,(((((......))))).,0.8333333333333334,1.0,0.9090909090909091,0.00019126799998048227
PDB,195,bpRNA_PDB_195,29,((((((...((((......)))))))))),1.0,1.0,1.0,0.0002889840002353594
SPR,398,tdbR00000615,77,(((((((.(((((.(((.(......)))))))))...((((....))))(((((.......))))))))))))....,0.7142857142857143,0.5172413793103449,0.6000000000000001,0.0021733270000368066
SPR,121,tdbR00000261,87,(((((((..(((.((....))..)))((((((.......))))))((((....))))..(((((.......))))))))))))....,1.0,0.6363636363636364,0.7777777777777778,0.0031057099999998172
