database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,493,bpRNA_PDB_493,94,((((((((......((((..(((.....)))..)...))).((((.(((....)))))))........(((((....)))))...)))))))).,0.75,0.8275862068965517,0.7868852459016394,0.06785123800000292
PDB,247,bpRNA_PDB_247,65,((((((.....(((((.......)))))..........((((((.......))))))..)))))),0.6538461538461539,1.0,0.7906976744186047,0.05093436900006054
PDB,145,bpRNA_PDB_145,77,(((((.((((.....((((...(((.((...((((((.......))))))....)).)))....))))))))))))),0.7857142857142857,0.88,0.830188679245283,0.05551291799997671
SPR,491,tdbR00000012,76,((((((((.((.......)).))))))))........((((.(((...(((((.......)))))))).))))...,0.7,0.5833333333333334,0.6363636363636365,0.05673485699981029
SPR,326,tdbR00000286,77,(((((((..((((((....)).))))..(((.........)))((((((((....)))).))))..)))))))....,0.7,0.5,0.5833333333333334,0.05622845900006723
SPR,477,tdbR00000461,71,((.(((((.((((.......)))).(((((.......)))))......(((....))).))))).))....,0.8947368421052632,0.85,0.8717948717948718,0.047376547999874674
PDB,56,bpRNA_PDB_56,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.03770438500009732
SPR,358,tdbR00000353,77,(((((((..((((.........)))).(((((.......)))))(((((((....)))).)))...)))))))....,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.05581523000000743
SPR,549,tdbR00000319,77,(((((((..((((.........)))).(((((((...)))))))......((((.......)))).)))))))....,0.9523809523809523,0.8333333333333334,0.888888888888889,0.05625315199995384
PDB,534,bpRNA_PDB_534,27,.(((((..((........)).))))).,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.03754338500016274
PDB,294,bpRNA_PDB_294,29,(((((....((((....))))...))))),0.8181818181818182,1.0,0.9,0.04510035900011644
PDB,305,bpRNA_PDB_305,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.037720941000088715
SPR,319,tdbR00000146,76,.(((((((...(((((((((((.(((.....))).)))))))))))..(((((.......))))))))))))....,0.5714285714285714,0.42857142857142855,0.48979591836734687,0.05494842199982486
SPR,496,tdbR00000362,76,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,1.0,1.0,1.0,0.05174068799988163
SPR,124,tdbR00000060,75,(((((((.((((....))))..........((((((.....))))))(((((.......))))))))))))....,0.5714285714285714,0.46153846153846156,0.5106382978723405,0.0557033009999941
PDB,16,bpRNA_PDB_16,38,(((((.......((((....)))).........))))),0.5625,1.0,0.72,0.039625211000156924
PDB,271,bpRNA_PDB_271,94,((((((((......(((...(((.....)))......))).((((.(((....)))))))........(((((....)))))...)))))))).,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.062412171999994825
