,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
0,(())......,99998.3984375,..........,0.0,10,2,2,2,0,0,2
1,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
2,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
3,((....))..,-0.4000000059604645,((....))..,-0.4000000059604645,10,3,3,4,0,0,4
4,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
5,(((...))).,1.399999976158142,..........,0.0,10,3,3,4,0,0,4
6,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
7,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
8,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
9,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
10,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
11,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
12,((...))...,5.400000095367432,..........,0.0,10,4,4,7,0,0,4
13,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
14,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
15,...((...)),3.700000047683716,..........,0.0,10,2,2,1,0,0,4
16,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
17,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
18,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
19,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
20,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
21,...((.))..,99998.796875,..........,0.0,10,2,2,2,0,1,4
22,((....))..,1.100000023841858,..........,0.0,10,2,2,2,0,0,4
23,-,10000000.0,((.....)).,-1.5,10,0,0,1,0,0,4
24,..((...)).,1.0,..........,0.0,10,5,5,9,0,1,4
25,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
26,-,10000000.0,..........,0.0,10,0,0,1,0,0,3
27,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
28,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
29,...((...)),3.5,..........,0.0,10,2,2,2,0,0,3
30,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
31,..((....)),4.099999904632568,..........,0.0,10,2,2,2,0,0,4
32,(((.)))...,99991.6015625,..........,0.0,10,3,3,4,0,0,4
33,-,10000000.0,..........,0.0,10,0,0,1,0,0,4
